COUNTRY,SEX,YEAR,VALUE
"BEL","MALE","2005","2196.78"
"BEL","ALL","2006","1781.33"
"BEL","FEMALE","2006","1390.27"
"BEL","MALE","2006","2189.34"
"BEL","ALL","2007","1775.75"
"BEL","FEMALE","2007","1388.25"
"BEL","MALE","2007","2179.82"
"BEL","ALL","2008","1770.02"
"BEL","FEMALE","2008","1386.43"
"BEL","MALE","2008","2169.78"
"BEL","ALL","2009","1764.68"
"BEL","FEMALE","2009","1384.35"
"BEL","MALE","2009","2160.78"
"BEL","ALL","2010","1760.38"
"BEL","FEMALE","2010","1381.72"
"BEL","MALE","2010","2154.46"
"BEL","ALL","2011","1756.87"
"BEL","FEMALE","2011","1377.90"
"BEL","MALE","2011","2150.98"
"BEL","ALL","2012","1753.29"
"BEL","FEMALE","2012","1372.84"
"BEL","MALE","2012","2148.65"
"BEL","ALL","2013","1749.77"
"BEL","FEMALE","2013","1367.45"
"BEL","MALE","2013","2146.76"
"BEL","ALL","2014","1746.35"
"BEL","FEMALE","2014","1362.53"
"BEL","MALE","2014","2144.56"
"BEL","ALL","2015","1743.45"
"BEL","FEMALE","2015","1359.26"
"BEL","MALE","2015","2141.67"
"BEL","ALL","2016","1743.34"
"BEL","FEMALE","2016","1360.39"
"BEL","MALE","2016","2139.84"
"BEL","ALL","2017","1743.31"
"BEL","FEMALE","2017","1361.14"
"BEL","MALE","2017","2138.60"
"BEL","ALL","2018","1740.39"
"BEL","FEMALE","2018","1355.42"
"BEL","MALE","2018","2138.17"
"BEL","ALL","2019","1736.44"
"BEL","FEMALE","2019","1345.04"
"BEL","MALE","2019","2140.47"
"BGR","ALL","1990","1679.17"
"BGR","FEMALE","1990","1391.75"
"BGR","MALE","1990","1974.70"
"BGR","ALL","1991","1682.65"
"BGR","FEMALE","1991","1395.24"
"BGR","MALE","1991","1979.04"
"BGR","ALL","1992","1686.58"
"BGR","FEMALE","1992","1399.11"
"BGR","MALE","1992","1983.80"
"BGR","ALL","1993","1691.19"
"BGR","FEMALE","1993","1403.74"
"BGR","MALE","1993","1989.12"
"BGR","ALL","1994","1696.10"
"BGR","FEMALE","1994","1408.72"
"BGR","MALE","1994","1994.69"
"BGR","ALL","1995","1700.86"
"BGR","FEMALE","1995","1413.49"
"BGR","MALE","1995","2000.14"
"BGR","ALL","1996","1707.23"
"BGR","FEMALE","1996","1419.29"
"BGR","MALE","1996","2007.74"
"BGR","ALL","1997","1716.33"
"BGR","FEMALE","1997","1427.15"
"BGR","MALE","1997","2018.70"
"BGR","ALL","1998","1726.11"
"BGR","FEMALE","1998","1435.52"
"BGR","MALE","1998","2030.61"
"BGR","ALL","1999","1734.57"
"BGR","FEMALE","1999","1442.74"
"BGR","MALE","1999","2040.98"
"BGR","ALL","2000","1739.71"
"BGR","FEMALE","2000","1447.32"
"BGR","MALE","2000","2047.25"
"BGR","ALL","2001","1740.97"
"BGR","FEMALE","2001","1448.71"
"BGR","MALE","2001","2048.95"
"BGR","ALL","2002","1739.91"
"BGR","FEMALE","2002","1448.03"
"BGR","MALE","2002","2048.08"
"BGR","ALL","2003","1737.13"
"BGR","FEMALE","2003","1445.77"
"BGR","MALE","2003","2045.33"
"BGR","ALL","2004","1733.11"
"BGR","FEMALE","2004","1442.23"
"BGR","MALE","2004","2041.42"
"BGR","ALL","2005","1728.43"
"BGR","FEMALE","2005","1437.78"
"BGR","MALE","2005","2037.03"
"BGR","ALL","2006","1721.05"
"BGR","FEMALE","2006","1430.70"
"BGR","MALE","2006","2029.74"
"BGR","ALL","2007","1710.26"
"BGR","FEMALE","2007","1420.58"
"BGR","MALE","2007","2018.40"
"BGR","ALL","2008","1697.86"
"BGR","FEMALE","2008","1408.89"
"BGR","MALE","2008","2005.10"
"BGR","ALL","2009","1686.09"
"BGR","FEMALE","2009","1397.55"
"BGR","MALE","2009","1992.47"
"BGR","ALL","2010","1677.20"
"BGR","FEMALE","2010","1388.48"
"BGR","MALE","2010","1983.15"
"BGR","ALL","2011","1673.67"
"BGR","FEMALE","2011","1384.12"
"BGR","MALE","2011","1979.81"
"BGR","ALL","2012","1674.57"
"BGR","FEMALE","2012","1384.03"
"BGR","MALE","2012","1981.35"
"BGR","ALL","2013","1676.91"
"BGR","FEMALE","2013","1385.60"
"BGR","MALE","2013","1984.40"
"BGR","ALL","2014","1678.03"
"BGR","FEMALE","2014","1386.37"
"BGR","MALE","2014","1986.01"
"BGR","ALL","2015","1675.44"
